Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Biospecimen Composition,"The text term used to describe the type(s) of tissue contained in the biospecimen. Multiple values permitted, comma separated.","Primary Tumor, Metastatic Tumor, Normal Tissue, Tumor-adjacent Normal Tissue, Not Applicable",,FALSE,,,,MC2/STE,list like
Biospecimen Preservation Method,Text term that represents the method used to preserve the sample.,"Cryopreserved, Cryopreservation in liquid nitrogen - dead tissue, Cryopreservation in dry ice - dead tissue, Cryopreservation in liquid nitrogen - live cells, Formalin fixed paraffin embedded - FFPE, Formalin fixed-unbuffered, Formalin fixed-buffered, Fresh, Fresh dissociated and single cell sorted into plates in NP40 buffer, OCT, Snap Frozen, Frozen, Negative 80 Deg C, Liquid Nitrogen, Fresh dissociated, Fresh dissociated and single cell sorted, Fresh dissociated and single cell sorted into plates, Methacarn fixed paraffin embedded - MFPE, unknown, Not Reported",,FALSE,,,,HTAN,
Biospecimen Site of Resection or Biopsy,The text term used to describe the anatomic site of the resection or biopsy of the patient's malignant disease.,"Gonad, Abdominal Esophagus, Adipose Tissue, Adrenal Gland, Alveolus, Aorta, Artery, Ascending Colon, Bile Duct, Bladder, Blood, Blood Vessel, Bone, Bone Marrow, Brain, Breast, Caecum, Cancer-Associated Fibroblast, Cardia, Cartilage, Cervix Uteri, Choroid, Colon, Connective and Soft Tissue, Cornea, Duodenum, Ear, Embryo, Embryonic Heart, Endocervix, Endometrium, Endothelium, Epithelium, Esophagus, Eye, Fallopian Tube, Foreskin, Frontal Lobe, Gastroesophageal Junction, Gastrointestinal Tract, Genitourinary, Hair Follicle, Head and Neck, Heart, Heart Muscle, Hematopoietic System, Hippocampus, Intestine, Intra-Abdominal Lymph Nodes, Intrathoracic Lymph Nodes, Joint, Kidney, Larynx, Ligament, Liver, Lung, Lymph, Lymph Node, Lymph Nodes of Axilla or Arm, Lymph Nodes of Inguinal Region or Leg, Lymphatic System, Lymphoid Tissue, Main Bronchus, Mammary Gland, Meninges, Mesenchyme, Mucosa, Muscle, Nasal Cavity, Nervous System, Not Applicable, Olfactory Mucosa, Omentum, Oral Cavity, Oral Mucosa, Ovary, Pancreas, Pelvic Lymph Nodes, Pending Annotation, Periodontal Ligament, Peripheral Nerves, Peritoneum, Pharynx, Pituitary Gland, Placenta, Pleura, Prostate Gland, Rectum, Reproductive System, Respiratory System, Salivary Gland, Sclera, Sinonasal Tract, Skin, Small Intestine, Spinal Cord, Spleen, Stomach, Synovial Membrane, Tendon, Testis, Thymus, Thyroid Gland, Tongue, Tonsil, Trachea, Umbilical Cord, Unspecified, Uterus, Vagina, Vascular Endothelium, Vein, Vertebra, Peripheral Blood Mononuclear Cell",,FALSE,,,,HTAN,
Biospecimen Site of Origin,"The text term used to describe the anatomic site of origin, of the patient's malignant disease.","Gonad, Abdominal Esophagus, Adipose Tissue, Adrenal Gland, Alveolus, Aorta, Artery, Ascending Colon, Bile Duct, Bladder, Blood, Blood Vessel, Bone, Bone Marrow, Brain, Breast, Caecum, Cancer-Associated Fibroblast, Cardia, Cartilage, Cervix Uteri, Choroid, Colon, Connective and Soft Tissue, Cornea, Duodenum, Ear, Embryo, Embryonic Heart, Endocervix, Endometrium, Endothelium, Epithelium, Esophagus, Eye, Fallopian Tube, Foreskin, Frontal Lobe, Gastroesophageal Junction, Gastrointestinal Tract, Genitourinary, Hair Follicle, Head and Neck, Heart, Heart Muscle, Hematopoietic System, Hippocampus, Intestine, Intra-Abdominal Lymph Nodes, Intrathoracic Lymph Nodes, Joint, Kidney, Larynx, Ligament, Liver, Lung, Lymph, Lymph Node, Lymph Nodes of Axilla or Arm, Lymph Nodes of Inguinal Region or Leg, Lymphatic System, Lymphoid Tissue, Main Bronchus, Mammary Gland, Meninges, Mesenchyme, Mucosa, Muscle, Nasal Cavity, Nervous System, Not Applicable, Olfactory Mucosa, Omentum, Oral Cavity, Oral Mucosa, Ovary, Pancreas, Pelvic Lymph Nodes, Pending Annotation, Periodontal Ligament, Peripheral Nerves, Peritoneum, Pharynx, Pituitary Gland, Placenta, Pleura, Prostate Gland, Rectum, Reproductive System, Respiratory System, Salivary Gland, Sclera, Sinonasal Tract, Skin, Small Intestine, Spinal Cord, Spleen, Stomach, Synovial Membrane, Tendon, Testis, Thymus, Thyroid Gland, Tongue, Tonsil, Trachea, Umbilical Cord, Unspecified, Uterus, Vagina, Vascular Endothelium, Vein, Vertebra, Peripheral Blood Mononuclear Cell",,FALSE,,,,HTAN,
Biospecimen Timepoint,"Label to identify the time point at which the clinical data or biospecimen was obtained (e.g. Baseline, End of Treatment, Overall survival, Final). NO PHI/PII INFORMATION IS ALLOWED.",,,FALSE,,,,HTAN,str
Biospecimen Collection Site,The health care site at which the biospecimen sample was collected.,,,FALSE,,,,MC2/STE,str
Biospecimen Therapeutic Agent,Text identification of the individual agent(s) used as part of a treatment regimen.,,,FALSE,,,,CDS/participant,
Biospecimen Tumor Morphology,"Morphology code from the third edition of the International Classification of Diseases for Oncology, published in 2000, and used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms.",,,FALSE,,,,CDS/participant,
Biospecimen Fixative,The name of the compound that preserves tissues and cells in this sample for microscopic study.,,,TRUE,,,,CDS/NDpathology,
Biospecimen Embedding Medium,The name of the material that infiltrates and supports the specimen and preserves its shape and structure for sectioning and microscopy.,,,TRUE,,,,CDS/NDpathology,
Biospecimen Acquisition Method,Records the method of acquisition or source for the specimen under consideration,,,FALSE,,,,CDS/NDpathology,
Biospecimen Description,A description of the biospecimen.,,,FALSE,,,,CDS/NDpathology,
Biospecimen Pathology,The pathology identifier associated with the biospecimen.,,,FALSE,,,,CDS/NDpathology,
Biospecimen BioSample Identifier,BioSample (SAMN) accession number corresponding to the source of this biospecimen.,,,FALSE,,,,CDS/NDpathology,
Parent Biospecimen Key,Biospecimen Key identifer of a biospecimen from which this sample was derived. Do not use this field to reference the source model or individual.,,,FALSE,,,,CDS/NDpathology,
Biospecimen Stain,"Any of the various methods that use a dye, reagent, or other material for producing coloration in tissues or microorganisms for microscopic examination.",,,TRUE,,,,CDS/NDpathology,
