Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
ImagingLevel2 Key,Unique ImagingLevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel3Image Key,Unique ImagingLevel3Image_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel3Segments Key,Unique ImagingLevel3Segments_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel4 Key,Unique ImagingLevel4_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingLevel1 Key,Unique SequencingLevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingLevel2 Key,Unique SequencingLevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingLevel3 Key,Unique SequencingLevel3_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingRNALevel1 Key,Unique SequencingRNALevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel1 Key,Unique 10xVisiumRNALevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel2 Key,Unique 10xVisiumRNALevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel3 Key,Unique 10xVisiumRNALevel3_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel4 Key,Unique 10xVisiumRNALevel4_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumAuxiliaryFiles Key,Unique 10xVisiumAuxiliaryFiles_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
Filename,"The path of a file in Synapse, relative to the project. The file associated with the path will be annotated with attributes contained in this sheet.",,,,"CDE:11284037, CRDC_CDE:11284037",,string,,,,,,
Workflow Type,Type of computational workflow used to generate the file.,,,,,,string,,,,,,
Workflow Link,Link to documentation or webpage associated with the computational workflow used to generate the file.,,,,,,string,uri,,,,,
Workflow Parameter Description,Link or text description of flags or options provided to the workflow used to generate the file.,,,,,,string,,,,,,
Software and Version,Name of software used to generate the information contained in the file. String,,,,CDE:11529072,,string,,,,,,
Workflow Version,Major version of the workflow (e.g. Cell Ranger v3.1),,,,,,string,,,,,,
Genomic Reference,Exact version of the human genome reference used in the alignment of reads (e.g. GCF_000001405.39),,,,CDE:11529031,,string,,,,,,
Genomic Reference URL,Link to human genome sequence; ftp or reference URL will be accepted.,,,,,,string,uri,,,,,
Genome Annotation URL,Link to the human genome annotation (GTF) file; ftp or reference URL will be accepted.,,,,,,string,uri,,,,,
AccessRequirementKey,The Access Requirement id(s) associated with this object. Provide multiple values as a comma-separated list.,,,,,,string,,,,,,
dataUseModifiers,"A list of data use modifiers that apply to the access requirement. Examples include GRU, IRB, etc.","Pending Annotation, DUO:0000042, DUO:0000027, DUO:0000016, DUO:0000029, DUO:0000043, DUO:0000015, DUO:0000004, DUO:0000045, DUO:0000017, DUO:0000011, DUO:0000046, DUO:0000018, DUO:0000044, DUO:0000021, DUO:0000006, DUO:0000019, DUO:0000026, DUO:0000020, DUO:0000012, DUO:0000025, DUO:0000024, DUO:0000028, DUO:0000022, DUO:0000007, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7",,,CDE:00002002,,string_list,,,,,,
collaborationRequired,"If collaboration is required for the access requirement, provide the PI email address. Provide multiple as a comma-separated list.",,,,,,string,,,,,,
diseaseSpecificResearch,The type(s) of disease research allowed by this access requirement. Provide the MONDO ID in format MONDO:id. Provide multiple values as a comma-separated list. MONDO terms can be found here: https://ols.monarchinitiative.org/ontologies/mondo,,,,,,string,,MONDO:\d{7},,,,
geographicalRestriction,The specific geographic region(s) to which use is limited by the access requirement.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,,,string_list,,,,,,
institutionSpecificRestriction,Institutions with specific restrictions associated with the access requirement. Provide the institution ROR ID in format ROR:id. Provide multiple entries as a comma-separated list. ROR IDs can be found here: https://ror.org/search,,,,,,string,,ROR:[a-z0-9]{9},,,,
publicationMoratorium,End date of the publication moratorium associated with the access requirement.,,,,,,string,date,,,,,
researchSpecificRestrictions,Research-specific restrictions associated with the access requirement.,,,,,,string,,,,,,
timeLimitOnUse,Time limit on the use of the data associated with the access requirement.,,,,,,number,,,,,,
userSpecificRestriction,The user-specific restrictions associated with the access requirement.,,,,,,string,,,,,,
sourceGeography,The geographical source of the data associated with the access requirement. Equivalent to DUOPlus1.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,,,string_list,,,,,,
populationType,The population studied in the research associated with the access requirement. Equivalent to DUOPlus2,,,,,,string,,,,,,
deidentificationType,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,"Manual, Semiautomatic, Automatic, Not Applicable",,,,,string_list,,,,,,
dataPermission,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,"Agreement, Attestation, Award, Other",,,,,string_list,,,,,,
dataTier,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,"Anonymous, Open, Controlled, Private",,,,,string_list,,,,,,
license,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2, MIT, GPL_3, BSD_3_Clause",,,,,string_list,,,,,,
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,,,,string,,,,,,
DUO:0000026,This data use modifier indicates that use is limited to use by approved users.,,userSpecificRestriction,,DUO:0000026,,string,,,,,,
DUO:0000020,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,collaborationRequired,,DUO:0000020,,string,,,,,,
DUO:0000012,This data use modifier indicates that use is limited to studies of a certain research type.,,researchSpecificRestrictions,,DUO:0000012,,string,,,,,,
DUO:0000025,This data use modifier indicates that use is approved for a specific number of months.,,timeLimitOnUse,,DUO:0000025,,string,,,,,,
DUO:0000024,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,publicationMoratorium,,DUO:0000024,,string,,,,,,
DUO:0000028,This data use modifier indicates that use is limited to use within an approved institution.,,institutionSpecificRestriction,,DUO:0000028,,string,,,,,,
DUO:0000022,This data use modifier indicates that use is limited to within a specific geographic region.,,geographicalRestriction,,DUO:0000022,,string,,,,,,
DUO:0000007,This data use permission indicates that use is allowed provided it is related to the specified disease.,,diseaseSpecificResearch,,DUO:0000007,,string,,,,,,
DUOPlus1,Source geography is relevant to governance decisions.,,sourceGeography,,,,string,,,,,,
DUOPlus2,Study population is relevant to governance decisions.,,populationType,,,,string,,,,,,
DUOPlus3,Data deidentification is relevant to governance decisions.,,deidentificationType,,,,string,,,,,,
DUOPlus4,A data permission designation is associated with the Study.,,dataPermission,,,,string,,,,,,
DUOPlus5,A data tier designation is associated with the Study.,,dataTier,,,,string,,,,,,
DUOPlus6,A license is associated with the Study.,,license,,,,string,,,,,,
DUOPlus7,Attribution conditions are associated with this Study.,,attribution,,,,string,,,,,,
Sex,"Biological sex associated with the individual, biospecimen donor, or model.","Decline to answer, Don't know, Female, Intersex, Male, None of these describe me, Prefer not to answer, Unknown, X",,True,"CDE:7572817, CRDC_CDE:7572817",,string,,,,,,
Tumor Grade,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","G1, G2, G3, G4, GX, GB, High Grade, Intermediate Grade, Low Grade, Unknown, Not Reported, Not Applicable",,,"CDE:11325685, CRDC_CDE:11325685",,string,,,,,,
Last Known Disease Status,"Text term that describes the last known disease status of the individual, biospecimen donor, or model.","Biochemical evidence of disease without structural correlate, Tumor Free, Unknown, With Tumor, Not Reported, Not Applicable, Not Allowed To Collect, Distant Metastasis, Localized Disease, Regional Disease, New Tumor Event",,,"CDE:12447172, CRDC_CDE:12447172",,string,,,,,,
Treatment Type,"Text term that describes the kind of treatment administered to the individual, biospecimen donor, or model.","3-Dimensional Conformal Radiation Therapy, Allogeneic Hematopoietic Stem Cell Transplantation, Autologous Stem Cell Transplantation, Brachytherapy, Cellular Therapy, Chemotherapy, Concurrent Chemoradiation, Control, Conventional Radiotherapy, Electron Beam Radiation Therapy, External Beam Radiation Therapy, High-Dose Rate Brachytherapy, Hormone Therapy, Immunotherapy, Intensity-Modulated Radiation Therapy, Low-Dose Rate Brachytherapy, Not Reported, Organ Transplantation, Palliative Care, Pharmacotherapy, Photon Beam Radiation Therapy, Proton Beam Radiation Therapy, Radiation Therapy, Radiofrequency Ablation, Radiopharmaceutical, Stem Cell Transplant, Stereotactic Body Radiation Therapy, Stereotactic Radiosurgery, Surgical Procedure, Targeted Molecular Therapy, Unknown",,,"CDE:14737565, CRDC_CDE:14737565",,string_list,,,,,,
Treatment Response,"Text term that describes the final outcome after a treatment was administered to the individual, biospecimen donor, or model.","Complete Response, No Evidence of Disease, No Response, Not Applicable, Not Evaluable, Not Reported, Partial Response, Persistent Disease, Progressive Disease, Stable Disease, Unknown",,,"CDE:13383448, CRDC_CDE:13383448, CRDC_CDE:15179918",,string,,,,,,
Therapeutic Agent,"The name of the individual agent(s) used as part of a treatment regimen or experimental protocol (NCI Thesaurus concept name -- reference-validated, not a fixed list; see https://ncithesaurus.nci.nih.gov/).",,,,"CDE:13579886, CRDC_CDE:14913015",,string_list,,,,,,
Primary Diagnosis,"Text term used to describe the histologic diagnosis of the patient, biospecimen donor, or model (NCI Thesaurus concept name -- reference-validated, not a fixed list; see https://ncithesaurus.nci.nih.gov/).",,,True,"CDE:14714127, CRDC_CDE:14905532",,string,,,,,,
Primary Site,"The UBERON identifier of the organ or part of the body where the disease began, i.e. the primary/original disease site (see https://www.ebi.ac.uk/ols4/ontologies/uberon). Reference-validated, not a fixed list.",,,,"CDE:14883047, CRDC_CDE:14883047",,string,,^UBERON:\d+$,,,,
Site of Origin,"The UBERON identifier of the anatomic site of origin of the patient's, biospecimen donor's, or model's malignant disease (see https://www.ebi.ac.uk/ols4/ontologies/uberon).",,,,"CDE:14156279, CRDC_CDE:14883072",,string,,^UBERON:\d+$,,,,
Known Metastasis Sites,The UBERON identifier(s) of the anatomic site(s) of metastasis associated with the malignant disease of the individual or biospecimen donor (see https://www.ebi.ac.uk/ols4/ontologies/uberon). Provide multiple values as a comma-separated list.,,,,"CDE:2856440, CRDC_CDE:15114457",,string_list,,^UBERON:\d+$,,,,
Disease Type,"The type of tumor associated with the individual, biospecimen, or model. Multiple values permitted, comma separated.","Acinar Cell Neoplasms, Adenomas and Adenocarcinomas, Adnexal and Skin Appendage Neoplasms, Basal Cell Neoplasms, Blood Vessel Tumors, Complex Mixed and Stromal Neoplasms, Cystic; Mucinous and Serous Neoplasms, Ductal and Lobular Neoplasms, Epithelial Neoplasms; NOS, Fibroepithelial Neoplasms, Fibromatous Neoplasms, Germ Cell Neoplasms, Giant Cell Tumors, Gliomas, Granular Cell Tumors and Alveolar Soft Part Sarcomas, Immunoproliferative Diseases, Leukemias, Lipomatous Neoplasms, Lymphatic Vessel Tumors, Mast Cell Neoplasm, Meningiomas, Mesothelial Neoplasms, Miscellaneous Bone Tumors, Miscellaneous Tumors, Mucoepidermoid Neoplasms, Myelodysplastic Syndromes, Myomatous Neoplasms, Myxomatous Neoplasms, Neoplasms; NOS, Nerve Sheath Tumors, Neuroepitheliomatous Neoplasms, Nevi and Melanomas, Not Applicable, Not Otherwise Specified, Not Reported, Odontogenic Tumors, Osseous and Chondromatous Neoplasms, Paragangliomas and Glomus Tumors, Plasma Cell Neoplasm, Soft Tissue Tumors and Sarcomas; NOS, Squamous Cell Neoplasms, Synovial-like Neoplasms, Thymic Epithelial Neoplasms, Transitional Cell Papillomas and Carcinomas, Trophoblastic neoplasms, Unknown",,,CDE:13471160,,string_list,,,,,,
Tumor Subtype,"The molecular or histologic subtype of the tumor associated with the individual, biospecimen, or model.",,,,,,string_list,,,,,,
Species,"The species of origin corresponding to the model, or from which the biospecimen originates.","African Bush Elephant, Armadillo, Asian Elephant, Boar, Cat, Chicken, Candida albicans, Cow, Dog, Escherichia coli, Guinea Pig, Horse, Human, Human Patient, Human Cell Line, Macaca nemestrina, Mouse, Multispecies, Not Applicable, Opossum, Rabbit, Rat, Rhesus monkey, Schizosaccharomyces pombe, Sheep, Trichoplax adhaerens, Unknown, Unspecified, Worm, Yeast, Fruit Fly, Zebrafish",,True,,,string_list,,,,,,
Days to Treatment,Number of days between the date used for index and the date the treatment started.,,,,,,number,,,,,,
ICD-10-CM Disease Code,"An alphanumeric value from the tenth version of the International Classification of Disease (ICD-10-CM) used to identify the diagnosis (e.g. C80.1). Reference-validated against the ICD-10-CM code system, not a fixed list.",,,,CRDC_CDE:11479873,,string,,"^[A-Z][0-9]{2}(\.[0-9A-Z]{1,4})?-?$",,,,
Treatment Anatomic Site,The UBERON identifier of the organ or part of the body targeted by a therapeutic procedure (see https://www.ebi.ac.uk/ols4/ontologies/uberon).,,,,CRDC_CDE:14461856,,string,,^UBERON:\d+$,,,,
