Node,Property,Type,CDEFullName,CDEVersion,CDECode,CDEOrigin,Acceptable Values,Required,Description,Src,Key Property,MC2 attribute,Transformation or alternate source,Required and present
study,primary_investigator_email,string,,,,,,preferred,Email of principal investigator,,FALSE,None,Provide manually,FALSE
study,co_investigator_name,string,,,,,,optional,Name of co-principal investigator,,FALSE,Study Investigator,,FALSE
study,co_investigator_email,string,,,,,,optional,Email of co-principal investigator,,FALSE,None,Provide manually,FALSE
study,phs_accession,"{""pattern"":""^phs[0-9]+$""}",Research Activity dbGaP Accession Number Identifier,1,11524544,caDSR,,required,PHS accession number (a.k.a dbGaP accession),,TRUE,Study dbGaP Accession Id,,TRUE
study,bioproject_accession,"{""pattern"":""^PRJNA[0-9]+$""}",,,,,,preferred,NCBI BioProject accession ID,,FALSE,None,,FALSE
study,index_date,string,,,,,"[""date_of_diagnosis"",""date_of_enrollment"",""date_of_collection"",""date_of_birth""]",optional,"Index date (Day 0) to which all dates are relative, for this study",,FALSE,Study Index Date,,FALSE
study,cds_requestor,string,,,,,,optional,Identifies the user requesting storage in GC,,FALSE,None,,FALSE
study,funding_agency,string,Funding Agency Organization Name Text,2,11524545,caDSR,,preferred,Funding agency of the requestor study,,FALSE,None,National Cancer Institute,FALSE
study,funding_source_program_name,string,Funding Agency Program Name Text,2,11524546,caDSR,,preferred,The funding source organization/sponsor,,FALSE,Consortium Full Name,,FALSE
study,grant_id,string,Grant Funding Identifier Number,2,3434057,caDSR,,preferred,Grant or contract identifier,,FALSE,GrantView_id,,FALSE
study,clinical_trial_system,string,,,,,,optional,Organization that provides clinical trial identifier (if studyis a clinical trial),,FALSE,None,,FALSE
study,clinical_trial_identifier,string,Clinical Trial Study Protocol Unique Identifier,1,14673514,caDSR,,optional,Study identifier in the given clinical trial system,,FALSE,None,,FALSE
study,clinical_trial_arm,string,Clinical Trial Treatment Arm Text,2,11524548,caDSR,,optional,"Arm of clinical trial, if appropriate",,FALSE,None,,FALSE
study,organism_species,string,Sample Organism Type,1,6118266,caDSR,"[""Canine"",""Cell Line"",""Human"",""Mouse""]",preferred,Species binomial of study participants,,FALSE,Biospecimen Species,Could also use Model Species or this will be Human if Individual metadata is provided; Select from controlled vocab,FALSE
study,adult_or_childhood_study,string,Subject Legal Adult Or Pediatric Participant Type,1,11524549,caDSR,"[""Adult - legal age"",""Pediatric""]",preferred,"Study participants are adult, pediatric, or other",,FALSE,Derived,Base on age of individuals or biospecimen,FALSE
study,data_types,list,,,,,,optional,Data types for storage,,FALSE,File Assay,Map File Assay to GC values,FALSE
study,file_types,list,,,,,,optional,File types for storage,,FALSE,File Format,"set(file_df[""File Assay""].to_list())",FALSE
study,data_access_level,string,,,,,"[""open"",""controlled"",""mixed""]",preferred,"Is data open, controlled, or mixed?",,FALSE,Derived,"Infer Open or Controlled from DUO; also, if phs number is provided, data is likely Controlled",FALSE
study,cds_primary_bucket,string,,,,,,preferred,The primary bucket for depositing data,,FALSE,None,,FALSE
study,cds_secondary_bucket,string,,,,,,optional,Secondary bucket for depositing data (non-sequence files),,FALSE,None,,FALSE
study,cds_tertiary_bucket,string,,,,,,optional,Secondary bucket for depositing data (non-sequence files),,FALSE,None,,FALSE
study,number_of_participants,number,Research Activity Unique Subjects Count,1,11555662,caDSR,,required,How many participants in the study,,FALSE,Study Number of Participants,,TRUE
study,number_of_samples,number,Research Activity Sample Size Count,1,11555663,caDSR,,required,How many total samples in the study,,FALSE,DSP Number of Samples,,TRUE
study,study_data_types,list,Data Collection Scientific Data Type Category,1,14824731,caDSR,"[""Genomics"",""Imaging"",""Proteomics"",""Image Annotation"",""Publication"",""Supplemental"",""Sequence Data"",""Pathology Imaging"",""Radiology Imaging"",""Transcriptome Profiling"",""Gene Expression Analysis"",""Chromatin"",""Clinical Measure Instrument"",""Copy Number Variation"",""Mass Spectrometry"",""Methylation Analysis"",""Microarray"",""Population Science"",""Protein Expression"",""Proteomic Profile"",""Quality Control"",""Not Reported"",""Archive"",""Genomic Structural Variation"",""Biospecimen"",""Clinical""]",required,Types of scientific data in the study,,FALSE,Derived,Map File Assay to GC values,TRUE
study,file_types_and_format,list,,,,,,required,Specific kinds of files in the dataset that will be uploaded to GC,,FALSE,Derived,"set(file_df[""File Assay""].to_list())",TRUE
study,size_of_data_being_uploaded,"{""value_type"":""number"",""units"":[""GB"",""TB"",""PB""]}",,,,,,preferred,Size of the data being uploaded to GC,,FALSE,Derived,Select from Synapse Dataset column size in bytes,FALSE
study,acl,string,Electronic Data File Access Level Text,2,11555664,caDSR,,optional,open or restricted access to data,,FALSE,Study Data Use Codes,,FALSE
study,study_access,string,,,,,"[""Open"",""Controlled""]",required,Study access,,FALSE,Derived,"Infer Open or Controlled from DUO; also, if phs number is provided, data is likely Controlled",TRUE
study,authz,string,,,,,,optional,multifactor authorization,,FALSE,None,,FALSE
study,study_version,list,,,,,,required,The version of the phs accession,,FALSE,Derived,"phs_accession.split(""."")[1]",TRUE
study,role_or_affiliation,string,Person Affiliation Role Text Type,2,2201713,caDSR,"[""Medical Physicist"",""Administrator or Manager"",""Respondent"",""Data Submitter"",""ENABLE Coach"",""Alternative Principal Investigator"",""SHE Instructor"",""Coordinator"",""Nurse Coach"",""Site Personnel"",""Interventional Radiologist"",""Clinical Nurse Specialist"",""Infusion Nurse"",""Gastroenterologist"",""Primary care physician"",""PCP"",""Medical Oncologist"",""Oncology Nurse"",""Nurse Practitioner"",""Physician Assistant"",""Surgical Oncologist"",""Developer"",""Maintainer"",""Site Coordinator"",""Principal Investigator"",""Funded Principal Investigator"",""Contract Principal Investigator"",""Study Chair"",""Site Leader"",""Scientific Monitor"",""Review Specialist"",""Review Liaison"",""Protocol Review Chair"",""Protocol Lead Investigator"",""Protocol Chair"",""Project Officer"",""Program Specialist"",""Medical Monitor"",""Grant Specialist"",""Contract Officer"",""Co-Project Officer"",""Concept Review Chair"",""Clinical Research Associate"",""Mail to contact"",""Principal Investigator (MGR)"",""PMB Drug Company Contact"",""Grant Investigator"",""Secondary CDUS Contact"",""Primary CDUS Contact"",""Division Head"",""Group Coordinator"",""ABS Coordinator"",""AdEERS Contact"",""Account Administrator"",""Adverse Event Coordinator"",""CEP Member"",""Agent Inspector"",""CDU Web Contact"",""Registration Coordinator"",""Address Module Coordinator"",""Head of Division"",""Participant Chief"",""Branch Chief"",""Shipping Designee"",""Protocol Specialist"",""Drug Company Contact"",""Program Director"",""Primary Shipping Designee"",""Checklist Supervisor"",""Checklist Completer"",""Site Investigator"",""Employee"",""Protocol Chair at an Organization"",""Mail Contact (Mgr)"",""Agent Expert"",""Associate"",""Investigator"",""Data Manager"",""Social Worker"",""Referring Physician"",""Physician"",""Pharmacist"",""Patient"",""Nurse"",""Contact Person"",""Abstractor"",""Submitting Pathologist"",""Subject Recruiter"",""Sponsor Medical Expert"",""Reviewing Pathologist"",""Radiation Oncologist"",""Project Coordinator"",""Referring Pathologist"",""Regulatory Coordinator"",""Representative Investigator"",""Research Clinician"",""Research Nurse"",""Registrar"",""Surgeon"",""Research Pathologist"",""Reviewing Radiologist"",""Site Representative Investigator"",""Sponsor/Medical Expert"",""Statistician"",""Study Chairperson"",""Study Coordinator"",""Community Educator"",""Guardian"",""Laboratory Director"",""Laboratory Technologist"",""Lead Drug Monitor"",""Legal Representative of the Sponsor"",""Neuropathologist"",""Pharmaceutical Liaison"",""Pharmacologist"",""Physicist"",""Population Member"",""Practitioner Assigned"",""Protocol Author"",""Sponsor"",""Treating Physician"",""Admitting Physician"",""Attending Physician"",""Audiologist"",""Bronchoscopist"",""Central Reviewer"",""Clinical Coordinator"",""Co-Investigator"",""Consulting Physician"",""Coordinating Investigator"",""Evaluator"",""Practitioner"",""Translator"",""Participant"",""Interpreter"",""Interviewer"",""Health Care Provider"",""Grant Principal Investigator"",""Letter of Intent Review Chair"",""Mail Contact""]",optional,The text that describes the distinguishable characteristics of the action or activity assigned to or required or expected of a person in a formal association with a group or organization.,,FALSE,None,Of the submitter,FALSE
study,title,string,Person Name Prefix Abbreviation Text,1,2663165,caDSR,"[""Sr."",""Rev."",""R."",""Prof."",""Ms."",""Mrs."",""Mr."",""Miss"",""Fr."",""Dr."",""Ch."",""Br."",""Bish.""]",optional,The abbreviation that represents an affix occurring at or before the beginning of an individual's name.,,FALSE,None,Of the submitter,FALSE
study,first_name,string,Person Given/First Name,2,2179589,caDSR,,optional,A word or group of words indicating a person's first (personal or given) name; the name that precedes the surname. Synonym = Given Name.,,FALSE,None,Of the submitter,FALSE
study,middle_name,string,Person Middle Name,2,2179590,caDSR,,optional,A means of identifying an individual by using a word or group of words indicating a person's middle name.,,FALSE,None,Of the submitter,FALSE
study,last_name,string,Person Family/Last Name,2,2179591,caDSR,,optional,"A means of identifying an individual by using a word or group of words indicating a person's last (family) name. Synonym = Last Name, Surname.",,FALSE,None,Of the submitter,FALSE
study,suffix,string,Individual Genea,2,2006475,caDSR,"[""I"",""Sr."",""Jr."",""IV"",""III"",""II""]",optional,Text term to represent an individual's position in a family lineage or pedigree.,,FALSE,None,Of the submitter,FALSE
study,email,string,Person Email Address Text,1,2517550,caDSR,,optional,The string of characters that represents the electronic mail address of a person.,,FALSE,None,Of the submitter,FALSE
study,clinical_trial_repository,string,,,,,,optional,The name of the organization that provides the clinical trial identifier.,,FALSE,None,,FALSE
study,crdc_id,string,,,,,,optional,The crdc_id is a unique identifier that is generated by CRDC Submission Portal,,FALSE,None,,FALSE
participant,study_participant_id,string,,,,,,required,"The property study_participant_id is a compound property, combining the property participant_id and the parent property study.phs_accession.It is the ID property for the node participant. The reason why we are doing that is because is some cases, there are same participant id in different studies repersent different participants.",,TRUE,Derived,{study_id}_{participant_id},TRUE
participant,participant_id,string,Subject Data Origin Identifier,1,12220014,caDSR,,required,"A number or a string that may contain metadata information, for a participantwho has taken part in the investigation or study.",,FALSE,"Individual_id, Model_id",,TRUE
participant,race,string,Race Category Text,1,2192199,caDSR,"[""Not allowed to collect"",""Black or African American"",""White"",""Asian"",""Unknown"",""Native Hawaiian or other Pacific Islander"",""American Indian or Alaska Native"",""Not Reported""]",preferred,OMB Race designator,,FALSE,None,,FALSE
participant,sex,string,Person Sex at Birth Category,1,7572817,caDSR,"[""X"",""Don't know"",""Prefer not to answer"",""None of these describe me"",""Intersex"",""Decline to answer"",""Unknown"",""Female"",""Male""]",required,Person Sex at Birth Category,,FALSE,Individual Sex,Could also be present in Biospecimen or Model,TRUE
participant,ethnicity,string,Ethnic Group Category Text,2,2192217,caDSR,"[""Not allowed to collect"",""Unknown"",""Not reported"",""Not Hispanic or Latino"",""Hispanic or Latino""]",preferred,OMB Ethnicity designator,,FALSE,None,,FALSE
participant,dbGaP_subject_id,string,Research Activity dbGaP Subject Identifier Text,1,14940691,caDSR,,optional,Identifier for the participant as assigned by dbGaP,,FALSE,Individual dbGaP Subject Id,,FALSE
participant,crdc_id,string,,,,,,optional,The crdc_id is a unique identifier that is generated by CRDC Submission Portal,,FALSE,None,,FALSE
diagnosis,study_diagnosis_id,string,,,,,,required,"The property study_diagnosis_id is a compound property, combining the property diagnosis_id and the parent property participant.study_participant_id. It is the ID property for the node diagnosis.",,TRUE,Derived,{participant.study_participant_id}_{diagnosis_id},TRUE
diagnosis,diagnosis_id,string,,,,,,optional,Internal identifier,,FALSE,Derived,"diag_1...diag_n, where n = # of diagnosis entries",FALSE
diagnosis,disease_type,string,Diagnosis Disease or Disorder Morphology Disease,1,13471160,caDSR,"[""Epithelial Neoplasms, NOS"",""Transitional Cell Papillomas and Carcinomas"",""Soft Tissue Tumors and Sarcomas, NOS"",""Paragangliomas and Glomus Tumors"",""Osseous and Chondromatous Neoplasms"",""Nevi and Melanomas"",""Neoplasms, NOS"",""Miscellaneous Bone Tumors"",""Cystic, Mucinous and Serous Neoplasms"",""Granular Cell Tumors and Alveolar Soft Part Sarcomas"",""Complex Mixed and Stromal Neoplasms"",""Adnexal and Skin Appendage Neoplasms"",""Unknown"",""Trophoblastic neoplasms"",""Thymic Epithelial Neoplasms"",""Synovial-like Neoplasms"",""Squamous Cell Neoplasms"",""Plasma Cell Neoplasm"",""Odontogenic Tumors"",""Not Reported"",""Not Otherwise Specified"",""Not Applicable"",""Neuroepitheliomatous Neoplasms"",""Nerve Sheath Tumors"",""Myxomatous Neoplasms"",""Myomatous Neoplasms"",""Myelodysplastic Syndromes"",""Mucoepidermoid Neoplasms"",""Miscellaneous Tumors"",""Mesothelial Neoplasms"",""Meningiomas"",""Mast Cell Neoplasm"",""Lymphatic Vessel Tumors"",""Lipomatous Neoplasms"",""Leukemias"",""Immunoproliferative Diseases"",""Gliomas"",""Giant Cell Tumors"",""Germ Cell Neoplasms"",""Fibromatous Neoplasms"",""Fibroepithelial Neoplasms"",""Ductal and Lobular Neoplasms"",""Blood Vessel Tumors"",""Basal Cell Neoplasms"",""Acinar Cell Neoplasms"",""Adenomas and Adenocarcinomas""]",optional,Type of disease [?],,FALSE,Individual Disease Type,Could also be present in Biospecimen or Model,FALSE
diagnosis,vital_status,string,Participant Vital Status Type,1,2847330,caDSR,"[""Not reported"",""Alive"",""Dead"",""Unknown"",""Unspecified""]",optional,Vital status as of last known follow up,,FALSE,Individual Last Known Vital Status,,FALSE
diagnosis,primary_diagnosis,string,Disease Primary Diagnosis NCI Thesaurus Name,1,14905532,caDSR,,required,Primary disease diagnosed for this diagnosis and subject,,FALSE,Individual Primary Diagnosis,Could also be present in Biospecimen or Model,TRUE
diagnosis,primary_site,string,Disease Primary Site of Disease Uberon Identifier,1,14883047,caDSR,"[""Duodenum"",""Zygomatic Bone"",""Wrist Joint"",""Waldeyer's Ring"",""Vulva"",""Viscera"",""Vasculo-Nervous"",""Vagina"",""Uterus"",""Urogenital"",""Ureter"",""Upper Extremity"",""Upper Arm"",""Upper Airway"",""Unknown"",""Ulna"",""Trunk - Paraspinal"",""Trunk"",""Trachea"",""Trabecular Meshwork"",""Tonsil"",""Toe"",""Tibia"",""Thyroid and Parathyroid"",""Thyroid"",""Thymus"",""Thorax"",""Thoracic Vertebra"",""Thoracic Spinal Cord"",""Third Ventricle"",""Thigh"",""Thalamus"",""Testis"",""Temporal Lobe"",""Temporal Cortex"",""Temporal Bone"",""Tarsal Bone"",""Talus"",""Suprasellar Pituitary"",""Supraclavicular Nodes"",""Superior Maxilla"",""Superior Limb and Shoulder"",""Stomach"",""Sternum/Chest Wall"",""Sternum"",""Splenic Hilar Nodes"",""Spleen"",""Spine"",""Spinal Cord"",""Sphenoid Bone"",""Soft Tissue, NOS"",""Soft Tissue"",""Small Intestine"",""Skull and Face Bone"",""Skull"",""Skin"",""Shoulder Joint"",""Shoulder Girdle"",""Shoulder"",""Schlemm's Canal"",""Scapula/Clavicle"",""Scapula"",""Scalp"",""Salivary Gland"",""Sacrum"",""Sacrococcygeal"",""Rib"",""Retroperitoneum"",""Regional Lymph Nodes"",""Rectum"",""Radius Bone"",""Prostate"",""Pre-auricular Nodes"",""Popliteal Nodes"",""Pons Varolii"",""Pleural Effusion"",""Pleura Thymus"",""Pleura"",""Pineal"",""Peritoneum"",""Perineum"",""Penis"",""Pelvis/Sacrum"",""Pelvis"",""Pectoral Nodes"",""Patella"",""Parotid"",""Parietal Lobe"",""Parietal Cortex"",""Parietal Bone"",""Parathyroid"",""Paratesticular"",""Paraspinal"",""Parapharyngeal Area"",""Paranasal Sinus"",""Para-Aortic Lymph Nodes"",""Pancreas"",""Ovary"",""Other"",""Oropharynx"",""Orbit"",""Oral Cavity"",""Optic Nerve"",""Optic Chiasm"",""Omentum"",""Oculus Uterque (Both Eyes)"",""Oculus Sinister (Left Eye)"",""Oculus Dexter (Right Eye)"",""Occipital Lobe"",""Occipital Cortex"",""Occipital Bone"",""Not Reported"",""Neck"",""Nasopharynx"",""Nasal Septum"",""Nasal Cavity and Paranasal Sinuses"",""Nasal Cavity"",""Nasal Bone"",""Middle Ear"",""Midbrain"",""Metatarsals"",""Metacarpals"",""Mesenteric Nodes"",""Meninges"",""Medulla"",""Mediastinum"",""Maxilla"",""Mandible"",""Lymphatic Basin"",""Lymph Node"",""Lung"",""Lumbar Vertebra"",""Lumbar Spine"",""Lumbar Spinal Cord"",""Lower Leg"",""Lower Extremity"",""Lower Arm"",""Liver/Biliary Tract"",""Liver"",""Leptomeningeal"",""Leg"",""Lateral Ventricle"",""Larynx - Trachea"",""Larynx"",""Large Vessels"",""Lacrimal Bone"",""Knee Joint"",""Kidney"",""Ischium"",""Intrathoracic"",""Intraspinal"",""Intraperitoneal"",""Intra-abdominal"",""Inguinal or Femoral Nodes"",""Inguinal"",""Infraclavicular Nodes"",""Inferior Limb"",""Ilium"",""Iliac Crest"",""Hypopharynx"",""Hypodermis"",""Humerus"",""Hip/Inguinal Region"",""Hip"",""Heart"",""Head and Neck"",""Head"",""Hand Phalanges"",""Hand Joint"",""Hand Bone"",""Hand"",""Gastrointestinal Tract"",""Gallbladder"",""Frontal Lobe"",""Frontal Cortex"",""Frontal Bone"",""Fourth Ventricle"",""Forearm"",""Foot Phalanges"",""Foot Joint"",""Foot Bone"",""Foot"",""Finger"",""Fibula Head"",""Fibula"",""Femur"",""Female Reproductive System Part"",""Fallopian Tube"",""Face"",""Eyelid"",""Ethmoid Bone"",""Esophagus"",""Epitrochlear or Brachial Nodes"",""Epitrochlear"",""Epididymis"",""Elbow Joint"",""Ear - Lateral Skull Base and Nasopharynx"",""Abdomen"",""Abdominal Wall"",""Acetabulum"",""Adjacent Organ"",""Adrenal Gland"",""Anal/Perianal"",""Ankle Joint"",""Anterior Skull Base"",""Anus"",""Appendix"",""Ascitic Fluid"",""Axilla"",""Axillary Nodes"",""Bladder"",""Bladder/Prostate"",""Bone"",""Bone Face"",""Bone Marrow"",""Bone or Bone Marrow"",""Brain"",""Brain/Leptomeninges"",""Breast"",""Bronchus"",""Buttock"",""Calcaneum"",""Carpal Bone"",""Cauda Equina Spinal Cord"",""Celiac Nodes"",""Central Nervous System"",""Cerebellum"",""Cerebrospinal Fluid"",""Cervical Nodes"",""Cervical Spine"",""Cervical Vertebra"",""Cervix"",""Cheek"",""Chest"",""Chest Wall"",""Choroid"",""Clavicle"",""Coccyx"",""Colon"",""Craniospinal"",""Cutaneous"",""Deep Facial Areas"",""Deep Gray (e.g. Basal ganglia or Thalamus)"",""Dermis"",""Distant Lymph Nodes"",""Dorsal Spine""]",optional,Anatomical site of disease in primary diagnosis for this diagnosis,,FALSE,Individual Primary Site,Could also be present in Biospecimen or Model,FALSE
diagnosis,age_at_diagnosis,integer,Subject Age at Diagnosis Integer,1,10609539,caDSR,,optional,Participant age at relevant diagnosis,,FALSE,Individual Age at Diagnosis,,FALSE
diagnosis,tumor_grade,string,Diagnosis Tumor Grade,2,11325685,caDSR,"[""G4 Anaplastic"",""G1 Low Grade"",""G2 Intermediate Grade"",""G3 High Grade"",""Unknown"",""Not Reported"",""Not Applicable"",""GX Grade Cannot Be Assessed"",""GB Borderline""]",optional,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.",,FALSE,Biospecimen Tumor Grade,Could also be present in Individual,FALSE
diagnosis,tumor_stage_clinical_m,string,Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage,1,3440331,caDSR,"[""Not Reported"",""Unknown"",""MX"",""M1c"",""M1b"",""M1a"",""M1"",""M0"",""cM0 (i+)""]",optional,Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,,FALSE,Individual Metastasis Stage,,FALSE
diagnosis,tumor_stage_clinical_n,string,Neoplasm American Joint Committee on Cancer Clinical Regional Lymph Node N Stage,1,3440330,caDSR,"[""Not Reported"",""Unknown"",""NX"",""N4"",""N3c"",""N3b"",""N3a"",""N3"",""N2c"",""N2b"",""N2a"",""N2"",""N1mi"",""N1c"",""N1bIV"",""N1bIII"",""N1bII"",""N1bI"",""N1b"",""N1a"",""N1"",""N0 (mol-)"",""N0 (mol+)"",""N0 (i-)"",""N0 (i+)"",""N0""]",optional,Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,,FALSE,Individual Tumor Lymph Node Stage,,FALSE
diagnosis,tumor_stage_clinical_t,string,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage,1,3440328,caDSR,"[""Not Reported"",""Unknown"",""T5"",""T3d"",""T4e"",""T2d"",""TX"",""Tis (Paget's)"",""Tis (LCIS)"",""Tis (DCIS)"",""Tis"",""Ta"",""T4d"",""T4c"",""T4b"",""T4a"",""T4"",""T3c"",""T3b"",""T3a"",""T3"",""T2c"",""T2b"",""T2a2"",""T2a1"",""T2a"",""T2"",""T1mi"",""T1c"",""T1b2"",""T1b1"",""T1b"",""T1a2"",""T1a1"",""T1a"",""T1"",""T0""]",optional,Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,,FALSE,Individual Primary Tumor Stage,,FALSE
