Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Frame Averaging,"Number of frames averaged together (if no averaging, set to 1). Integer >= 1",,,FALSE,,,,HTAN,
Image ID,"Unique internal image identifier. eg ""Image:0"". (To be extracted from OME-XML)",,,FALSE,,,,HTAN,
DimensionOrder,The order in which the individual planes of data are interleaved.,,,FALSE,,,,HTAN,
PhysicalSizeX,Physical size (X-dimension) of a pixel. Units are set by PhysicalSizeXUnit. Floating point value > 0.,,,FALSE,,,,HTAN,
PhysicalSizeXUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,FALSE,,,,HTAN,
PhysicalSizeY,Physical size (Y-dimension) of a pixel. Units are set by PhysicalSizeYUnit. Floating point value > 0.,,,FALSE,,,,HTAN,
PhysicalSizeYUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,FALSE,,,,HTAN,
PhysicalSizeZ,Physical size (Z-dimension) of a pixel. Units are set by PhysicalSizeZUnit. Floating point value > 0.,,,FALSE,,,,HTAN,
PhysicalSizeZUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,FALSE,,,,HTAN,
Pixels BigEndian,Boolean (True/False),,,FALSE,,,,HTAN,
PlaneCount,"Number of Z-planes (not to be confused with downsampled ""pyramid""). Integer >=1",,,FALSE,,,,HTAN,
SizeC,Number of channels. Integer >= 1,,,FALSE,,,,HTAN,
SizeT,Number of time points. Integer >= 1,,,FALSE,,,,HTAN,
SizeX,Size of image: X dimension (in pixels). Integer >= 1,,,FALSE,,,,HTAN,
SizeY,Size of image: Y dimension (in pixels). Integer >= 1,,,FALSE,,,,HTAN,
SizeZ,Size of image: Z dimension (in pixels). Integer >= 1,,,FALSE,,,,HTAN,
PixelType,"Data type for each pixel value. E.g. ""uint16""",,,FALSE,,,,HTAN,
Imaging Channel Metadata,Channel-level Metadata Attributes,,"Component, Channel Metadata ID, Channel ID, Channel Name, Channel Passed QC, Cycle Number, Sub Cycle Number, Antibody Role, Target Name, Antibody Name, RRID identifier, Fluorophore, Clone, Lot, Vendor, Catalog Number, Excitation Wavelength, Emission Wavelength, Excitation Bandwidth, Emission Bandwidth, Metal Isotope Element, Metal Isotope Mass, Oligo Barcode Upper Strand, Oligo Barcode Lower Strand, Dilution, Concentration",FALSE,,,,HTAN,
Channel Metadata ID,Identifier for this channel metadata table (same for all rows),,,TRUE,,,,HTAN,
Channel ID,This must match the corresponding field in the OME-XML / TIFF header. (eg 'Channel:0:1'),,,TRUE,,,,HTAN,
Channel Name,This must match the corresponding field in the OME-XML / TIFF header. (eg 'Blue' or 'CD45' or 'E-cadherin'),,,TRUE,,,,HTAN,
Channel Passed QC,Identify stains that did not pass QC but are included in the dataset.,"Yes, No - Channel Failed QC",,FALSE,,,,HTAN,
Cycle Number,The cycle # in which the co-listed reagent(s) was(were) used. Integer >= 1 (up to number of cycles),,,FALSE,,,,HTAN,
Sub Cycle Number,Sub cycle number,,,FALSE,,,,HTAN,
Antibody Role," ""Is this antibody acting as a primary or secondary antibody""","Primary, Secondary",,FALSE,,,,HTAN,
Target Name,Short descriptive name (abbreviation) for this target (antigen),,,TRUE,,,,HTAN,
Antibody Name,"Antibody Name (free text (eg “Keratin”, “CD163”, “DNA”))",,,FALSE,,,,HTAN,
RRID identifier,Research Resource Identifier (eg “RRID: AB_394606”),,,FALSE,,,,HTAN,
Fluorophore,Fluorescent dye label (eg Alexa Fluor 488),,,FALSE,,,,HTAN,
Clone,Clone,,,FALSE,,,,HTAN,
Lot,Lot number from vendor,,,FALSE,,,,HTAN,
Vendor,Vendor,,,FALSE,,,,HTAN,
Catalog Number,Catalog Number,,,FALSE,,,,HTAN,
Excitation Wavelength,Center/peak of the excitation spectrum (nm),,,FALSE,,,,HTAN,
Emission Wavelength,Center/peak of the emission spectrum (nm),,,FALSE,,,,HTAN,
Excitation Bandwidth,Nominal width of excitation spectrum (nm),,,FALSE,,,,HTAN,
Emission Bandwidth,Nominal width of emission spectrum (nm),,,FALSE,,,,HTAN,
Metal Isotope Element,Element abbreviation. eg “La” or “Nd”,"H, He, Li, Be, B, C, N, O, F, Ne, Na, Mg, Al, Si, P, S, Cl, Ar, K, Ca, Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn, Ga, Ge, As, Se, Br, Kr, Rb, Sr, Y, Zr, Nb, Mo, Tc, Ru, Rh, Pd, Ag, Cd, In, Sn, Sb, Te, I, Xe, Cs, Ba, La, Ce, Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, Ta, W, Re, Os, Ir, Pt, Au, Hg, Tl, Pb, Bi, Po, At, Rn, Fr, Ra, Ac, Th, Pa, U, Np, Pu, Am, Bk, Cf, Es, Fm, Md, No, Lr, Rf, Db, Sg, Bh, Hs, Mt, Ds, Rg, Cn, Nh, Fl, Mc, Lv, Ts, Og",,FALSE,,,,HTAN,
Metal Isotope Mass,Element mass number,,,FALSE,,,,HTAN,
Oligo Barcode Upper Strand,Oligo Barcode - Upper Strand,,,FALSE,,,,HTAN,
Oligo Barcode Lower Strand,Oligo Barcode - Lower Strand,,,FALSE,,,,HTAN,
Dilution,Dilution (eg 1:1000),,,FALSE,,,,HTAN,
Concentration,Concentration (eg 10ug/mL),,,FALSE,,,,HTAN,
