attribute,n_permissible_values,existing_cde,top_cde_public_id,top_cde_version,top_score,top_cde_long_name,top_pv_match_ratio,n_candidates,existing_vs_top
Biospecimen Primary Site,246,,7058670,1,83.55,Diagnosis,,10,
Biospecimen Primary Diagnosis,800,14714127,7058670,1,83.55,Diagnosis,,10,disagree
Biospecimen Treatment Response,11,13383448,13383448,1,80,Disease Response Assessment Outcome,1.0,10,agree
Biospecimen Incidence Type,6,0002002,7385445,1,83.55,Disease Status,,10,disagree
Biospecimen Treatment Type,30,14737565,3333730,2,79.98,Treatment Assignment Type,0.033,10,disagree
Collection_id,0,,,,,,,0,
Biospecimen Table Id,0,,,,,,,0,
Model Table Id,0,,,,,,,0,
Individual Table Id,0,,,,,,,0,
Imaging Channel Table Id,0,,,,,,,0,
GeoMx ROI Table Id,0,,,,,,,0,
Consortium Name,0,,62749,3,63.9,Treating Physician Name,,10,
Consortium Display Name,0,,62749,3,63.9,Treating Physician Name,,10,
Consortium Full Name,0,,62749,3,63.9,Treating Physician Name,,10,
Consortium Description,0,,6421489,1,63.9,Medical History Event Reported Term,,8,
Consortium Funding Agency,1,,16002760,1,58.9,Study Administration Funding Agency Organization Name,,2,
Website,0,,2004169,3,63.9,Lesion Anatomic Site Description,,10,
Consortium_id,0,,,,,,,0,
community,0,,2802846,1,63.85,Patient Work Interference Symptom Scale,,5,
description,0,,6421489,1,63.9,Medical History Event Reported Term,,8,
contributors,0,,,,,,,0,
keywords,0,,,,,,,0,
individuals,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,10,
link,0,,15250312,1,63.55,Disease or Disorder Type Health Level Seven Display Name Text,,1,
croissant_s3_file_object,0,,5278800,1,63.85,File Identifier,,10,
DataCatalog_id,0,,,,,,,0,
accessType,4,,2740401,1,63.9,Protocol Deviation Severity Type,,10,
alternateName,0,,62749,3,63.9,Treating Physician Name,,10,
conditionsOfAccess,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
countryOfOrigin,249,,6227555,2,79.98,Hereditary Gene Panel Code,0.004,10,
creator,0,,2004092,2,63.85,Anatomic Organ Site Text,,10,
dataUseModifiersCatalog,0,,,,,,,0,
datePublished,0,,2193134,2,83.9,Date,,10,
funder,1,,,,,,,0,
includedInDataCatalog,0,,,,,,,0,
license,11,,14902606,1,63.55,Data File Dataset License Type,,1,
measurementTechnique,382,,2182879,1,79.98,Not Obtained Indicator,0.003,10,
species,29,,2182879,1,79.98,Not Obtained Indicator,0.069,10,
subject,0,,,,,,,0,
title,0,,62749,3,63.9,Treating Physician Name,,10,
citation,0,,3442349,1,63.55,Study Specimen Identification Specimen Provider Name,,10,
doi,0,,2003301,4,63.9,Patient Identifier,,5,
visualizeDataOn,0,,2684609,1,63.85,Case Report Form Name,,3,
yearProcessed,0,,3874240,1,63.9,Image Series Number Identifier,,10,
specimenCount,0,,2500265,2,63.9,Tissue Disease Status Category,,10,
series,0,,3874240,1,63.9,Image Series Number Identifier,,3,
Dataset Name,0,,62749,3,63.9,Treating Physician Name,,10,
Dataset Alias,0,,2003301,4,63.9,Patient Identifier,,5,
Dataset Description,0,,6421489,1,63.9,Medical History Event Reported Term,,7,
Dataset Design,0,,6115803,1,63.85,Experiment Overall Design Description Text,,1,
Dataset Url,0,,,,,,,0,
Dataset Doi,0,,2003301,4,63.9,Patient Identifier,,5,
Dataset Assay,382,,5473,14,79.98,Biomarker Name,0.01,10,
Dataset Species,29,,6951303,1,79.98,Data Collection Species Type,0.034,10,
Dataset Tumor Type,186,,6407343,1,79.98,Malignant Neoplasm Anatomic Type,0.005,10,
Dataset Tissue,114,,7003892,1,83.55,Tissue Type,,10,
Dataset File Formats,81,,11416926,2,79.98,Data File Format Type,0.37,10,
Dataset Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Dataset Pubmed Id,0,,,,,,,0,
DatasetView_id,0,,,,,,,0,
Dataset Data Use Codes,0,,,,,,,0,
Resource Title,0,,2663165,1,63.9,Person Name Prefix Abbreviation Text,,7,
Resource Link,0,,2798050,2,63.85,Intervention or Procedure Administration Number,,1,
Resource Doi,0,,2003301,4,63.9,Patient Identifier,,10,
Resource Topic,37,,7348004,1,79.98,Protocol Deviations Domain Eligibility Determination Source,0.027,10,
Resource Activity Type,22,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Primary Format,10,,7050005,1,83.55,Media Type,,10,
Resource Intended Use,4,,2539206,1,79.98,Treatment Regimen Intent Type,0.25,10,
Resource Primary Audience,7,,7348004,1,79.98,Protocol Deviations Domain Eligibility Determination Source,0.143,10,
Resource Educational Level,10,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Description,0,,6113740,1,63.85,Experiment Summary Description Text,,2,
Resource Origin Institution,0,,,,,,,0,
Resource Language,186,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Contributors,0,,,,,,,0,
Resource Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Secondary Topic,0,,,,,,,0,
Resource License,326,,3171797,1,79.98,Drug Abuse Type,0.003,10,
Resource Use Requirements,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Alias,0,,2003301,4,63.9,Patient Identifier,,8,
Resource Internal Identifier,0,,,,,,,0,
Resource Media Accessibility,18,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Access Hazard,4,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Dataset Alias,0,,,,,,,0,
Resource Tool Link,0,,,,,,,0,
EducationalResource_id,0,,,,,,,0,
File Description,0,11280338,,,,,,0,
File Design,0,,5278800,1,63.85,File Identifier,,10,
File Url,0,11556141,,,,,,0,
File Assay,382,,5473,14,79.98,Biomarker Name,0.01,10,
File Level,7,,5477,2.31,63.85,Biomarker Value,,10,
File Species,29,,6951303,1,79.98,Data Collection Species Type,0.034,3,
File Tumor Type,186,,6407343,1,79.98,Malignant Neoplasm Anatomic Type,0.005,10,
File Tissue,114,,7003892,1,83.55,Tissue Type,,10,
FileView_id,0,14528010,,,,,,0,
File Longitudinal Group,0,,2193236,2,83.9,Time,,10,
File Longitudinal Event Type,2,,2193236,2,83.9,Time,,10,
File Longitudinal Sequence Identifier,0,,,,,,,0,
File Longitudinal Time Elapsed Unit,0,,2193236,2,83.9,Time,,10,
File Longitudinal Sequential Time Elapsed,0,,2193236,2,83.9,Time,,10,
File Longitudinal Total Time Elapsed,0,,2193236,2,83.9,Time,,10,
File Format,81,11416926,11416926,2,74.98,Data File Format Type,0.37,10,agree
File Alias,0,,2003301,4,63.9,Patient Identifier,,10,
File Anatomic Site,333,14156279,5098518,1,79.98,Infectious Disorder Integer::5 Site Name,0.015,10,disagree
File Data Use Codes,0,0002001,,,,,,0,
NanoStringGeoMxAuxiliaryFiles_id,0,,,,,,,0,
Synapse ID of GeoMx Lab Worksheet File,0,,,,,,,0,
Synapse ID of GeoMx DSP PKC File,0,,,,,,,0,
Synapse ID of GeoMx DSP ROI Segment Annotation File,0,,,,,,,0,
Synapse ID of GeoMx DSP Config File,0,,,,,,,0,
NanoStringGeoMxDSPImaging_id,0,,,,,,,0,
GeoMx Imaging Channel Names,0,,,,,,,0,
GeoMx Imaging AOI Coordinates,0,,,,,,,0,
NanoStringGeoMxDSPLevel1_id,0,,,,,,,0,
GeoMx DSP Assay Type,4,,7789196,2,83.55,Assay Type,,10,
NanoStringGeoMxDSPLevel2_id,0,,,,,,,0,
NanoStringGeoMxDSPLevel3_id,0,,,,,,,0,
NanoStringGeoMXROISegmentAnnotation_id,0,,,,,,,0,
GeoMx Scan name,0,,62749,3,63.9,Treating Physician Name,,10,
GeoMx ROI Name,0,,,,,,,0,
GeoMx AOI Name,0,,,,,,,0,
GeoMx ROI X Coordinate,0,,2004169,3,63.9,Lesion Anatomic Site Description,,10,
GeoMx ROI Y Coordinate,0,,2004169,3,63.9,Lesion Anatomic Site Description,,10,
GeoMx AOI X Coordinate,0,,2004169,3,63.9,Lesion Anatomic Site Description,,10,
GeoMx AOI Y Coordinate,0,,2004169,3,63.9,Lesion Anatomic Site Description,,10,
GeoMx QC status,0,,,,,,,0,
GeoMx Scan Height,0,,6606195,1,83.85,Height,,10,
GeoMx Scan Width,0,,2220523,1,63.9,Brachytherapy Implant Width Measurement,,5,
GeoMx Scan Offset X,0,,2452870,1,63.85,Nodule Scan Number,,2,
GeoMx Scan Offset Y,0,,2452870,1,63.85,Nodule Scan Number,,2,
GeoMx Binding Density,0,,2002141,4,63.85,Adverse Event Report Type,,4,
GeoMx Positive norm factor,0,,2841233,1,63.55,Malignant Neoplasm Normal Cell Percentage Value,,10,
GeoMx Surface area,0,,64352,3,63.85,Tumor Lung Area Type,,9,
GeoMx Nuclei count,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,5,
GeoMx Slide name,0,,62749,3,63.9,Treating Physician Name,,10,
GeoMx In Situ Negative median,0,,2480535,2,63.85,Cigar Smoked Daily Number,,5,
GeoMx Biological probe median,0,,2480535,2,63.85,Cigar Smoked Daily Number,,7,
GeoMx Negative count mean,0,,5477,2.31,63.85,Biomarker Value,,10,
GeoMx No Template Control count,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,6,
GeoMx Excluded Outlier Probes,0,,2680551,2,63.85,Specimen Submission Institution Address Text,,3,
GeoMx Limit of Quantification,0,,6692738,1,63.85,Lung Segmental Bronchus Location Anatomic Site,,1,
GeoMx Sequencing Saturation,0,,6944747,1,83.55,Function,,10,
GeoMx Tags,0,,62749,3,63.9,Treating Physician Name,,10,
GeoMx Tissue Stain,0,,6421489,1,63.9,Medical History Event Reported Term,,10,
Grant Name,0,,62749,3,63.9,Treating Physician Name,,10,
Grant Number,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,4,
Grant Abstract,0,,,,,,,0,
Grant Type,6,,2740401,1,63.9,Protocol Deviation Severity Type,,10,
Grant Theme Name,18,,,,,,,0,
Grant Institution Name,91,,5798571,1,79.98,MCL Contributing Institution Name,0.066,10,
Grant Institution Alias,91,,5798571,1,79.98,MCL Contributing Institution Name,0.011,9,
Grant Investigator,0,,,,,,,0,
Grant Consortium Name,11,,2813153,1,58.85,Registering Consortium Code,,1,
GrantView_id,0,,,,,,,0,
Grant Synapse Team,0,,15101801,1,63.55,Imaging Healthcare Facility Name,,1,
Grant Synapse Project,0,,5335698,1,63.85,The Cancer Human Biobank Project Identifier,,4,
Grant Start Date,0,,2193134,2,83.9,Date,,10,
NIH RePORTER Link,0,,2003837,3,83.85,Result,,10,
Duration of Funding,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Embargo End Date,0,,2193134,2,83.9,Date,,10,
Grant End Date,0,,2193134,2,83.9,Date,,10,
ImagingChannel_id,0,,,,,,,0,
Channel Identifier,0,,,,,,,0,
Channel Name,0,,2200467,1.1,63.85,Malignant Neoplasm Skull Metastatic Involvement Ind-3,,4,
Channel Passed QC,2,,6632314,1,63.85,Group ID,,2,
Channel Cycle Number,0,,10,4,63.9,Agent Name,,10,
Channel Sub-cycle Number,0,,2072,4.1,63.9,Treatment Current Course Number,,10,
Channel Antibody Role,2,,2614002,2,63.9,Image Acquisition Scan Begin Second Time,,6,
Channel Target Name,0,,62749,3,63.9,Treating Physician Name,,10,
Channel Antibody Name,0,,2004006,5,83.55,Antibody Name,,10,
Channel Resource ID,0,,,,,,,0,
Channel Fluorophore,0,,12299653,1,58.55,Specimen Original Anatomic Site Uberon Name,,1,
Channel Antibody Clone,0,,14767258,1,93.55,Imaging Multiplex Imaging Clone Unique Identifier,,10,
Channel Antibody Lot,0,,6390920,1,83.9,Lot Number,,10,
Channel Antibody Vendor,0,,2866141,1,88.9,Equipment Manufacturer Name Text,,10,
Channel Antibody Catalog Number,0,,2192897,1,93.85,Medical Device Manufacturer Index Number,,7,
Channel Excitation Wavelength,0,,15101801,1,63.55,Imaging Healthcare Facility Name,,1,
Channel Emission Wavelength,0,,15101801,1,63.55,Imaging Healthcare Facility Name,,1,
Channel Excitation Bandwidth,0,,2220523,1,63.9,Brachytherapy Implant Width Measurement,,3,
Channel Emission Bandwidth,0,,2220523,1,63.9,Brachytherapy Implant Width Measurement,,3,
Channel Metal Symbol,117,,,,,,,0,
Channel Metal Isotope,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,3,
Channel Oligo Barcode Upper Strand,0,,2443622,1,63.9,Brachytherapy Seed Implantation Suture Material Sequence Number,,10,
Channel Oligo Barcode Lower Strand,0,,2443622,1,63.9,Brachytherapy Seed Implantation Suture Material Sequence Number,,10,
Channel Probe Dilution Ratio,0,,,,,,,0,
Channel Probe Concentration,0,,,,,,,0,
ImagingLevel1_id,0,,,,,,,0,
Image Assay Type,14,7789196,7789196,2,74.99,Assay Type,0.786,10,agree
Image Protocol Link,0,,,,,,,0,
Image Platform Model,0,,,,,,,0,
Image Platform Manufacturer,0,,,,,,,0,
Image Software,0,,62749,3,63.9,Treating Physician Name,,10,
ImagingLevel2_id,0,,,,,,,0,
Image Objective,0,,2003301,4,63.9,Patient Identifier,,6,
Image Nominal Magnification,0,7788940,,,,,,0,
Image Lense Aperture,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Image Working Distance,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,7,
Image Working Distance Unit,5,,2093,3,79.99,Agent Quantity UOM,0.6,10,
Image Immersion Type,6,,8058286,2,95,Imaging Procedure Microscope Immersion Medium Type,1.0,1,
Image Pyramidal,2,,7788945,2,80,Imaging Pyramid Representation True False Indicator,1.0,10,
Image Z stack,0,,,,,,,0,
Image Timeseries,0,,,,,,,0,
Image FOV Index,0,,3729260,1,63.85,Question Display Sequence Number,,2,
Image FOV Size X,0,,2854921,1,63.85,Chronic Graft Versus Host Disease Skin Ulcer Size Longest Measurement Value,,2,
Image FOV Size X Unit,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image FOV Size Y,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Image FOV Size Y Unit,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image Frame Averaging,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,5,
Image Identifier,0,,,,,,,0,
Image Dimension Order,0,,,,,,,0,
Image Physical Size X,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image Physical Size X Unit,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image Physical Size Y,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image Physical Size Y Unit,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image Physical Size Z,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image Physical Size Z Unit,0,,2182866,1,63.9,Transfuse Blood Component Units,,10,
Image Pixels BigEndian,2,,,,,,,0,
Image Plane Count,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,10,
Image Channel Size,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,3,
Image Number of Timepoints,0,,2193236,2,83.9,Time,,10,
Image X Pixels,0,,2659462,1.1,63.9,Image Instance Number,,10,
Image Y Pixels,0,,2659462,1.1,63.9,Image Instance Number,,10,
Image Z Pixels,0,,2659462,1.1,63.9,Image Instance Number,,10,
Image Pixel Type,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
ImagingLevel3Image_id,0,,,,,,,0,
ImagingLevel3Segments_id,0,,,,,,,0,
Image Segmentation Data Type,5,,6692738,1,63.85,Lung Segmental Bronchus Location Anatomic Site,,1,
Image Parameter file,0,,3008888,1,63.9,Case Report Form Version Number,,10,
Image Object Class,6,,17278542,1,63.55,Intervention or Procedure Surgical Classification Structure Name,,2,
Image Number of Objects,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,10,
Image Object Class Description,0,,6421489,1,63.9,Medical History Event Reported Term,,10,
ImagingLevel4_id,0,,,,,,,0,
Image Number of Features,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,10,
Image Summary Statistic,3,,6944747,1,83.55,Function,,10,
Individual_id,0,12220014,,,,,,0,
Individual Known Metastasis Sites,342,,2856440,3,79.99,Tumor Location Anatomic Site Name,0.532,10,
Individual Last Known Disease Status,11,2847330,13362328,1,79.98,Gene Alteration Assessment Status,0.091,10,disagree
Individual Sex,9,7572817,2681095,2.1,79.98,Body Fluid or Substance Specimen Collection Type,0.111,10,disagree
Individual Disease Type,46,13471160,2759161,1,79.98,Adjuvant Radiation Therapy Type,0.022,10,disagree
Individual Primary Diagnosis,800,14714127,7058670,1,83.55,Diagnosis,,10,disagree
Individual Primary Site,246,14883047,7058670,1,83.55,Diagnosis,,10,disagree
Individual Tumor Subtype,0,,2003837,3,83.85,Result,,10,
Individual Tumor Grade,12,11325685,,,,,,0,
Individual Site of Origin,614,,,,,,,0,
Individual Age at Diagnosis,0,15019300,,,,,,0,
Individual Gender,6,,,,,,,0,
Individual dbGaP Subject Id,0,,,,,,,0,
Individual Days to Last Followup,0,,2193134,2,83.9,Date,,10,
Individual Primary Tumor Stage,37,3440328,,,,,,0,
Individual Tumor Lymph Node Stage,26,3440330,,,,,,0,
Individual Days To Recurrence,0,,2193134,2,83.9,Date,,10,
Individual Days to Last Known Disease Status,0,,2193236,2,83.9,Time,,10,
Individual Treatment Type,30,14737565,3333730,2,79.98,Treatment Assignment Type,0.033,10,disagree
Individual Days to Treatment,0,,2193134,2,83.9,Date,,10,
Individual Therapeutic Agent,4475,13579886,2735650,1,79.98,Non-protocol Therapy Administered Type,,10,disagree
Individual Metastasis Stage,9,3440331,2211,4.1,79.98,Cancer Progression Distant First Distant Diagnosis Indicator,0.111,10,disagree
Individual Recurrence Status,7,13529783,2797530,1,79.99,Negation Infectious Disorder Liver Toxicity Unknown Etiology Indicator,0.571,10,disagree
Individual Treatment Response,11,13383448,62605,3,79.98,Adverse Event Outcome Type,0.091,10,disagree
Individual Vital Status,5,,2006655,1,84.98,Vital status,0.2,10,
Institution Name,0,,62749,3,63.9,Treating Physician Name,,10,
Institution Full Name,0,,62749,3,63.9,Treating Physician Name,,10,
Institution Alias,0,,2481533,1,63.9,Treating Institution Identifier Code,,10,
Institution Location State,58,,7539999,1,79.99,Address State Name,0.897,10,
Institution Location City,0,,2481533,1,63.9,Treating Institution Identifier Code,,10,
Rorid,0,,2003301,4,63.9,Patient Identifier,,10,
Model_id,0,12220014,,,,,,0,
Model Age,0,,2413274,2.1,63.9,Equipment Manufacturer Model Name Text,,10,
Model Age Unit,0,,2789683,1,63.9,Agent Administration Potency Unit of Measure Unified Code for Units of Measure Code,,10,
Model Sex,9,7572817,6343385,3,79.98,Sex,0.333,10,disagree
Model Disease Type,46,,2759161,1,79.98,Adjuvant Radiation Therapy Type,0.022,10,
Model Tumor Subtype,0,,,,,,,0,
Model Species,29,,6951303,1,79.98,Data Collection Species Type,0.034,7,
Model Type,0,,,,,,,0,
Model Method,0,,,,,,,0,
Model Source,0,,,,,,,0,
Model Acquisition Type,0,,,,,,,0,
Model Graft Source,0,,,,,,,0,
Model Genotype,0,,2740401,1,63.9,Protocol Deviation Severity Type,,10,
Model Treatment Type,30,14737565,3333730,2,79.98,Treatment Assignment Type,0.033,10,disagree
Model Therapeutic Agent,4475,13579886,2950646,1,79.98,Interruption Or Modification Agent Name,,10,disagree
Model Primary Diagnosis,800,14714127,7058670,1,83.55,Diagnosis,,10,disagree
Model Site of Origin,614,,14156279,2,80,Disease Anatomic Site ICD-O-3 Site Label Text,1.0,10,
Model Primary Site,246,,7058670,1,83.55,Diagnosis,,10,
Model Days to Treatment,0,,2193134,2,83.9,Date,,10,
Model Treatment Response,11,13383448,13383448,1,80,Disease Response Assessment Outcome,1.0,10,agree
Name,0,,62749,3,63.9,Treating Physician Name,,10,
Alternative Names,0,,,,,,,0,
Email,0,,2484076,1,63.9,Telecommunications Email Address Text,,10,
Url,0,,2003720,3,63.85,Page Number,,9,
Orcid Id,0,,,,,,,0,
Synapse Profile Id,0,,,,,,,0,
Last Known Institution,0,,2179591,2,63.9,Person Family/Last Name,,10,
Working Group Participation,9,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Chair Roles,4,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Consent For Portal Display,2,,2680551,2,63.85,Specimen Submission Institution Address Text,,10,
Portal Display,2,,15250312,1,63.55,Disease or Disorder Type Health Level Seven Display Name Text,,1,
Person Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Person Consortium Name,11,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Person Publications,0,,,,,,,0,
Person Datasets,0,,,,,,,0,
Person Tools,0,,,,,,,0,
Person Educational Resources,0,,,,,,,0,
PersonView_id,0,,,,,,,0,
Project Name,0,,62749,3,63.9,Treating Physician Name,,10,
Project Type,2,,2740401,1,63.9,Protocol Deviation Severity Type,,10,
Project Description,0,,6421489,1,63.9,Medical History Event Reported Term,,10,
Project Investigator,0,,,,,,,0,
Project Grant Number,155,,16002823,1,63.9,Study Administration Grant Funding Number Identifier,,7,
Project Consortium Name,11,,5335698,1,63.85,The Cancer Human Biobank Project Identifier,,3,
ProjectView_id,0,,,,,,,0,
Publication Doi,0,,2003301,4,63.9,Patient Identifier,,10,
Publication Journal,0,,62749,3,63.9,Treating Physician Name,,10,
Pubmed Id,0,3443453,,,,,,0,
Pubmed Url,0,,3443453,1,58.55,Study Publication Identification PubMed Identifier,,10,
Publication Title,0,,2663165,1,63.9,Person Name Prefix Abbreviation Text,,10,
Publication Year,0,,2422275,1,63.85,Study Publication Year Number,,10,
Publication Keywords,0,,,,,,,0,
Publication Authors,0,,,,,,,0,
Publication Abstract,0,,3443453,1,58.55,Study Publication Identification PubMed Identifier,,10,
Publication Assay,382,,5473,14,79.98,Biomarker Name,0.01,10,
Publication Tumor Type,186,,6407343,1,79.98,Malignant Neoplasm Anatomic Type,0.005,10,
Publication Tissue,114,,7003892,1,83.55,Tissue Type,,10,
Publication Accessibility,2,,6596849,1,63.55,Resting Occurrence Indicator,,10,
Publication Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Publication Dataset Alias,0,,,,,,,0,
PublicationView_id,0,,,,,,,0,
SequencingLevel1_id,0,,,,,,,0,
NGS Sequencing Coverage,0,11556322,,,,,,0,
NGS Read Length,0,12426615,,,,,,0,
NGS Library Selection Method,38,6347743,,,,,,0,
NGS Library Strategy,39,6273393,7789196,2,74.98,Assay Type,0.026,3,disagree
NGS Library Source Material,6,15235975,15235975,1,80,Specimen Material Source,1.0,10,agree
NGS Library Layout,2,11527735,6421489,1,63.9,Medical History Event Reported Term,,9,disagree
NGS Library Preparation Kit Name,0,,62749,3,63.9,Treating Physician Name,,10,
NGS Library Preparation Kit Vendor,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,6,
NGS Library Preparation Kit Version,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
NGS Sequencing Platform,67,6352164,6347771,1,79.98,Sequencing Library Platform Name,0.015,8,disagree
NGS Sequencing Design Description,0,11529028,,,,,,0,
NGS Read Indicator,5,,,,,,,0,
NGS Library Preparation Days from Index,0,,5473,14,63.9,Biomarker Name,,10,
NGS Sequencing Library Construction Days from Index,0,,5473,14,63.9,Biomarker Name,,10,
NGS Unique Bases,0,,1012,3,63.85,Chronic Disease Present Ind-3,,4,
NGS Raw Reads,0,11529035,,,,,,0,
NGS Library Source Molecule,6,15235981,,,,,,0,
SequencingLevel2_id,0,,,,,,,0,
NGS Stitched Reads,0,,1012,3,63.85,Chronic Disease Present Ind-3,,10,
NGS Aligned Reads,0,,2192199,1,63.9,Race Category Text,,10,
NGS Deduplicated Reads,0,,6414187,1,63.9,Returned Amount,,10,
NGS Trimmed Reads,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,3,
NGS MapQ30,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,4,
SequencingLevel3_id,0,,,,,,,0,
NGS Unique Probe Count,0,,5944594,1,63.9,Sexual Health Inventory for Men Total Score,,10,
NGS Unique Target Count,0,,5944594,1,63.9,Sexual Health Inventory for Men Total Score,,10,
NGS Matrix Type,4,,,,,,,0,
SequencingRNALevel1_id,0,,,,,,,0,
NGS RNA End Bias,3,,,,,,,0,
NGS RNA Reverse Transcription Primer,4,,,,,,,0,
NGS RNA RIN,0,,6343384,1,83.9,Race,,10,
NGS RNA DV200,0,,2185878,1,63.85,Necrotic Bone Lesion Text,,10,
Data Use Codes,25,0002001,,,,,,0,
ProjectView Key,0,,,,,,,0,
Study Key,0,,,,,,,0,
PersonView Key,0,,,,,,,0,
Consortium Key,0,,,,,,,0,
GrantView Key,0,,,,,,,0,
DatasetView Key,0,,,,,,,0,
Biospecimen Key,0,,,,,,,0,
Individual Key,0,,,,,,,0,
PublicationView Key,0,,,,,,,0,
ToolView Key,0,,,,,,,0,
EducationalResource Key,0,,,,,,,0,
DataDSP Key,0,,,,,,,0,
Model Key,0,,,,,,,0,
FileView Key,0,,,,,,,0,
NanoStringGeoMxAuxiliaryFiles Key,0,,,,,,,0,
NanoStringGeoMxDSPImaging Key,0,,,,,,,0,
