Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Resource Language,Language of the item (not of the metadata). Multiple values should be provided as a comma separated list.,"aa, ab, ae, af, ak, am, an, ar, as, av, ay, az, ba, be, bg, bh, bi, bm, bn, bo, br, bs, ca, ca, ce, ch, co, cr, cs, cu, cv, cy, da, de, dv, dv, dz, ee, el, en, eo, es, et, eu, fa, ff, fi, fj, fo, fr, fy, ga, gd, gl, gn, gu, gv, ha, he, hi, ho, hr, ht, hu, hy, hz, ia, id, ie, ig, ii, ik, io, is, it, iu, ja, jv, ka, kg, ki, kj, kk, kl, km, kn, ko, kr, ks, ku, kv, kw, ky, la, lb, lg, li, ln, lo, lt, lu, lv, mg, mh, mi, mk, ml, mn, mr, ms, mt, my, na, nb, nd, ne, ng, nl, nn, no, nr, nv, ny, oc, oj, om, or, os, pa, pi, pl, ps, pt, qu, rm, rn, ro, ru, rw, sa, sc, sd, se, sg, si, sk, sl, sm, sn, so, sq, sr, ss, st, su, sv, sw, ta, te, tg, th, ti, tk, tl, tn, to, tr, ts, tt, tw, ty, ug, uk, ur, uz, ve, vi, vo, wa, wo, xh, yi, yo, za, zh, zu",,True,,,string_list,,[a-z]{2},,,,
Resource Contributors,The name(s) of the contributor(s) to the item. Multiple contributor names should be provided as a comma-separated list.,,,True,,,string_list,,,,,,
Resource Secondary Topic,"Additional topics or keywords to describe the content of the item, in addition to the primary topic. Multiple values should be provided as a comma-separated list.",,,,,,string_list,,,,,,
Resource Use Requirements,"A list of materials, hardware, software, computing power, and network requirements that the end user would need to satisfy before using the resource, if applicable. Multiple values should be provided as a comma separated list.",,,,,,string,,,,,,
Resource Alias,"A unique identifier (DOI, Synapse ID) for the item, if it exists.",,,,,,string,,,,,,
Resource Internal Identifier,"The institution-specific ID for the item, if applicable. May be non-unique. Multiple values should be provided as a comma separated list.",,,,,,string_list,,,,,,
Resource Media Accessibility,"Accessibility features (Alternative Text, Audio Description, etc.) incorporated into the item. Multiple values should be provided as a comma separated list.","Alternative Text, Audio Description, Braille, Captions, ChemML, Described Math, Display Transformability, Haptic, High Contrast, Large Print, Latex, Long Description, MathML, Nemeth Braille, Sign Language, Structural Navigation, Tactile Graphics, Text Transcript",,,,,string_list,,,,,,
Resource Access Hazard,"Sensory hazards (Flashing, Motion, etc.) applicable to the item. Multiple values should be provided as a comma separated list.","Flashing, Motion, Simulation, Sound",,,,,string_list,,,,,,
Resource Tool Link,"URL or persistent identifier (DOI, Synapse ID) for any software or tool that is intended to be used with the item. Multiple values should be provided as a comma separated list.",,,,,,string_list,,,,,,
EducationalResource_id,"Unique ID associated with a Educational Resource entry, used as a key for record linking and updates.",,,True,primary_key,,string,,,,,,
Resource Dataset Alias,"URL or persistent identifier (DOI, Synapse ID) for any dataset(s) that is intended to be used with the item. Multiple values should be provided as a comma separated list.",,,,,,string_list,,,,,,
